Time,AccelX,AccelY,AccelZ
-2.526,-9.788,-0.123,0.039
-2.501,-9.789,-0.124,-0.023
-2.475,-9.786,-0.151,-0.008
-2.45,-9.77,-0.104,0.087
-2.426,-9.785,-0.112,0.097
-2.401,-9.79,-0.198,0.094
-2.376,-9.778,-0.268,0.015
-2.35,-9.757,-0.399,0.107
-2.326,-9.807,-0.368,0.169
-2.3,-9.809,-0.229,0.098
-2.276,-9.759,-0.101,0.024
-2.251,-9.747,-0.15,-0.065
-2.226,-9.787,-0.193,-0.015
-2.2,-9.788,-0.203,0.049
-2.176,-9.807,-0.081,0.098
-2.15,-9.774,-0.077,-0.014
-2.126,-9.785,-0.16,-0.125
-2.1,-9.799,-0.172,-0.069
-2.076,-9.782,-0.149,-0.01
-2.051,-9.792,-0.061,0.057
-2.026,-9.758,-0.099,0.021
-2,-9.794,-0.103,-0.042
-1.975,-9.781,-0.162,-0.029
-1.95,-9.786,-0.077,0.006
-1.926,-9.78,-0.104,0.129
-1.9,-9.781,-0.105,0.055
-1.876,-9.783,-0.249,0.039
-1.85,-9.78,-0.254,0
-1.825,-9.771,-0.231,0.082
-1.801,-9.79,-0.259,0.148
-1.776,-9.794,-0.266,0.071
-1.75,-9.805,-0.237,0.001
-1.725,-9.77,-0.175,-0.023
-1.7,-9.8,-0.23,0.106
-1.676,-9.805,-0.191,0.079
-1.65,-9.794,-0.206,0.042
-1.626,-9.775,-0.18,-0.078
-1.6,-9.777,-0.228,-0.015
-1.576,-9.788,-0.196,0.006
-1.55,-9.786,-0.144,0.047
-1.526,-9.791,-0.062,-0.021
-1.5,-9.785,-0.116,-0.063
-1.475,-9.775,-0.097,-0.033
-1.45,-9.796,-0.094,0.044
-1.425,-9.787,-0.046,0.082
-1.4,-9.788,-0.069,0.046
-1.376,-9.815,-0.142,-0.037
-1.35,-9.775,-0.132,0.005
-1.326,-9.811,-0.119,0.065
-1.3,-9.792,-0.1,0.107
-1.276,-9.787,-0.238,0.065
-1.25,-9.785,-0.26,-0.012
-1.225,-9.761,-0.393,0.003
-1.2,-9.799,-0.334,0.071
-1.176,-9.804,-0.266,0.156
-1.15,-9.774,-0.209,0.03
-1.125,-9.782,-0.16,-0.078
-1.1,-9.783,-0.159,-0.079
-1.075,-9.787,-0.149,0.022
-1.05,-9.773,-0.149,0.092
-1.025,-9.776,-0.125,0.024
-1,-9.785,-0.17,-0.088
-0.975,-9.779,-0.124,-0.059
-0.95,-9.79,-0.167,0.092
-0.925,-9.803,-0.058,0.11
-0.9,-9.787,-0.045,0.018
-0.875,-9.768,-0.078,-0.064
-0.85,-9.792,-0.166,0.015
-0.825,-9.773,-0.166,0.135
-0.8,-9.782,-0.096,0.121
-0.775,-9.767,-0.057,0.03
-0.75,-9.791,-0.2,-0.022
-0.725,-9.796,-0.238,0.006
-0.7,-9.807,-0.251,0.099
-0.675,-9.79,-0.296,0.113
-0.65,-9.783,-0.403,0.057
