,Time,AccelX,AccelY,AccelZ,AccelX_G,,,,,,,,,,,,,,,,,
63759,-2.526,-9.788,-0.123,0.039,-0.99877551,,,,,,,,,,,,,,,,,
63760,-2.501,-9.789,-0.124,-0.023,-0.998877551,,,,,,,,,,,,,,,,,
63761,-2.475,-9.786,-0.151,-0.008,-0.998571429,,,,,,,,,,,,,,,,,
63762,-2.45,-9.77,-0.104,0.087,-0.996938776,,,,,,,,,,,,,,,,,
63763,-2.426,-9.785,-0.112,0.097,-0.998469388,,,,,,,,,,,,,,,,,
63764,-2.401,-9.79,-0.198,0.094,-0.998979592,,,,,,,,,,,,,,,,,
63765,-2.376,-9.778,-0.268,0.015,-0.997755102,,,,,,,,,,,,,,,,,
63766,-2.35,-9.757,-0.399,0.107,-0.995612245,,,,,,,,,,,,,,,,,
63767,-2.326,-9.807,-0.368,0.169,-1.000714286,,,,,,,,,,,,,,,,,
63768,-2.3,-9.809,-0.229,0.098,-1.000918367,,,,,,,,,,,,,,,,,
63769,-2.276,-9.759,-0.101,0.024,-0.995816327,,,,,,,,,,,,,,,,,
63770,-2.251,-9.747,-0.15,-0.065,-0.994591837,,,,,,,,,,,,,,,,,
63771,-2.226,-9.787,-0.193,-0.015,-0.998673469,,,,,,,,,,,,,,,,,
63772,-2.2,-9.788,-0.203,0.049,-0.99877551,,,,,,,,,,,,,,,,,
63773,-2.176,-9.807,-0.081,0.098,-1.000714286,,,,,,,,,,,,,,,,,
63774,-2.15,-9.774,-0.077,-0.014,-0.997346939,,,,,,,,,,,,,,,,,
63775,-2.126,-9.785,-0.16,-0.125,-0.998469388,,,,,,,,,,,,,,,,,
63776,-2.1,-9.799,-0.172,-0.069,-0.999897959,,,,,,,,,,,,,,,,,
63777,-2.076,-9.782,-0.149,-0.01,-0.998163265,,,,,,,,,,,,,,,,,
63778,-2.051,-9.792,-0.061,0.057,-0.999183673,,,,,,,,,,,,,,,,,2.18
63779,-2.026,-9.758,-0.099,0.021,-0.995714286,,,,,,,,,,,,,,,,,
63780,-2,-9.794,-0.103,-0.042,-0.999387755,,,,,,,,,,,,,,,4.76,Time to 0G,
63781,-1.975,-9.781,-0.162,-0.029,-0.998061224,,,,,,,,,,,,,,,,,
63782,-1.95,-9.786,-0.077,0.006,-0.998571429,,,,,,,,,,,,,,,4.48,Time back to -1G,
63783,-1.926,-9.78,-0.104,0.129,-0.997959184,,,,,,,,,,,,,,,,,
63784,-1.9,-9.781,-0.105,0.055,-0.998061224,,,,,,,,,,,,,,,,,
63785,-1.876,-9.783,-0.249,0.039,-0.998265306,,,,,,,,,,,,,,,1.12,"""-1G to sep charge""",
63786,-1.85,-9.78,-0.254,0,-0.997959184,,,,,,,,,,,,,,,,,
63787,-1.825,-9.771,-0.231,0.082,-0.997040816,,,,,,,,,,,,,,,2.1,Increasing acceleration,
63788,-1.801,-9.79,-0.259,0.148,-0.998979592,,,,,,,,,,,,,,,,,
63789,-1.776,-9.794,-0.266,0.071,-0.999387755,,,,,,,,,,,,,,,,,
63790,-1.75,-9.805,-0.237,0.001,-1.000510204,,,,,,,,,,,,,,,,,
63791,-1.725,-9.77,-0.175,-0.023,-0.996938776,,,,,,,,,,,,,,,,,
63792,-1.7,-9.8,-0.23,0.106,-1,,,,,,,,,,,,,,,,,
63793,-1.676,-9.805,-0.191,0.079,-1.000510204,,,,,,,,,,,,,,,,,
63794,-1.65,-9.794,-0.206,0.042,-0.999387755,,,,,,,,,,,,,,,,,
63795,-1.626,-9.775,-0.18,-0.078,-0.99744898,,,,,,,,,,,,,,,,,
63796,-1.6,-9.777,-0.228,-0.015,-0.997653061,,,,,,,,,,,,,,,,,
63797,-1.576,-9.788,-0.196,0.006,-0.99877551,,,,,,,,,,,,,,,,,
63798,-1.55,-9.786,-0.144,0.047,-0.998571429,,,,,,,,,,,,,,,,,
