Time,Altitude,Temp,Voltage
0,2,115.8,9.5
0.05,0,115.8,9.5
0.1,2,115.8,9.5
0.15,0,115.8,9.5
0.2,2,115.8,9.5
0.25,0,115.8,9.5
0.3,0,115.8,9.5
0.35,1,115.8,9.5
0.4,0,115.8,9.5
0.45,1,115.8,9.5
0.5,1,115.8,9.5
0.55,-23,115.8,9.5
0.6,0,115.8,9.5
0.65,1,115.8,9.5
0.7,10,115.8,9.5
0.75,12,115.8,9.5
0.8,15,115.8,9.5
0.85,21,115.8,9.5
0.9,29,115.8,9.5
0.95,38,115.8,9.5
1,49,115.8,9.5
1.05,62,115.8,9.5
1.1,76,115.8,9.5
1.15,91,115.8,9.5
1.2,105,115.8,9.5
1.25,121,115.8,9.5
1.3,136,115.8,9.5
1.35,149,115.8,9.5
1.4,166,115.8,9.5
1.45,182,115.8,9.5
1.5,203,115.8,9.5
1.55,226,115.8,9.5
1.6,245,115.8,9.4
1.65,270,115.8,9.4
1.7,296,115.8,9.4
1.75,322,115.8,9.4
1.8,351,115.8,9.4
1.85,381,115.8,9.4
1.9,412,115.8,9.4
1.95,445,115.8,9.4
2,481,115.8,9.4
2.05,514,115.8,9.4
2.1,548,115.8,9.4
2.15,583,115.8,9.4
2.2,619,115.8,9.4
2.25,658,115.8,9.4
2.3,701,115.8,9.4
2.35,743,115.8,9.4
2.4,786,115.8,9.4
2.45,831,115.8,9.4
2.5,875,115.8,9.4
2.55,921,115.8,9.4
2.6,970,115.8,9.4
2.65,1019,115.8,9.4
2.7,1068,115.8,9.4
2.75,1119,115.8,9.4
2.8,1167,115.8,9.4
2.85,1215,115.8,9.4
2.9,1268,115.8,9.4
2.95,1328,115.8,9.4
3,1384,115.8,9.4
3.05,1439,115.8,9.4
3.1,1495,115.8,9.4
3.15,1542,115.8,9.4
3.2,1597,115.8,9.4
3.25,1651,115.8,9.4
3.3,1686,115.8,9.4
3.35,1723,115.8,9.4
3.4,1759,115.8,9.4
3.45,1804,115.8,9.4
3.5,1847,115.8,9.4
3.55,1890,115.8,9.4
3.6,1932,115.8,9.4
3.65,1970,115.8,9.4
3.7,2011,115.8,9.4
3.75,2050,115.8,9.4
3.8,2090,115.8,9.4
3.85,2130,115.8,9.4
3.9,2169,115.8,9.4
3.95,2212,115.8,9.4
4,2255,115.8,9.4
4.05,2292,115.8,9.4
4.1,2329,115.8,9.4
4.15,2370,115.8,9.4
4.2,2409,115.8,9.4
4.25,2447,115.8,9.4
4.3,2488,115.8,9.4
4.35,2528,115.8,9.4
4.4,2566,115.8,9.4
4.45,2605,115.8,9.4
4.5,2646,115.8,9.4
4.55,2684,115.8,9.4
4.6,2719,115.8,9.4
4.65,2757,115.8,9.4
4.7,2795,115.8,9.4
4.75,2833,115.8,9.4
4.8,2871,115.8,9.4
4.85,2907,115.8,9.4
4.9,2945,115.8,9.4
4.95,2983,115.8,9.4
5,3018,115.8,9.4
5.05,3053,115.8,9.4
5.1,3088,115.8,9.4
