time,temp,pressure
101000000,254,100020
200000000,254,100022
300000000,254,100023
400000000,254,100020
500000000,254,100014
600000000,254,100017
700000000,254,100020
800000000,254,100019
900000000,254,100016
1000000000,254,100019
1100000000,254,100019
1200000000,254,100022
1300000000,254,100022
1400000000,254,100023
1500000000,254,100020
1600000000,254,100023
1700000000,254,100025
1800000000,254,100020
1900000000,254,100017
2000000000,254,100019
2100000000,254,100016
2200000000,254,100029
2300000000,254,100022
2400000000,254,100019
2500000000,254,100017
2600000000,254,100013
2700000000,254,100019
2800000000,254,100020
2900000000,254,100026
3000000000,254,100023
3100000000,254,100017
3200000000,254,100023
3300000000,254,100014
3400000000,254,100012
3500000000,255,100021
3600000000,254,100023
3700000000,254,100020
3800000000,254,100014
3900000000,254,100017
4000000000,254,100017
4100000000,254,100016
4200000000,254,100020
4300000000,254,100011
4400000000,254,100017
4500000000,255,100027
4600000000,254,100017
4700000000,255,100018
4800000000,254,100014
4900000000,254,100011
5000000000,254,100020
5100000000,255,100024
5200000000,254,100014
5300000000,254,100014
5400000000,255,100021
5500000000,254,100014
5600000000,254,100017
5700000000,254,100020
5800000000,254,100017
5900000000,255,100015
6000000000,254,100017
6100000000,255,100018
6200000000,254,100020
6300000000,254,100014
6400000000,255,100027
6500000000,254,100017
6600000000,254,100017
6700000000,254,100017
6800000000,254,100017
6900000000,254,100019
7000000000,254,100023
7100000000,255,100027
7200000000,254,100026
7300000000,255,100024
7400000000,254,100026
7500000000,255,100021
7600000000,255,100018
7700000000,254,100011
7800000000,255,100021
7900000000,254,100020
8000000000,254,100020
8100000000,255,100024
8200000000,254,100014
8300000000,255,100015
8400000000,255,100015
8500000000,254,100017
8600000000,255,100009
8700000000,254,100011
8800000000,255,100018
8900000000,255,100018
9000000000,254,100011
9100000000,255,100018
9200000000,255,100027
9300000000,254,100017
9400000000,255,100024
9500000000,255,100018
9600000000,255,100018
9700000000,254,100017
9800000000,255,100018
9900000000,254,100017
10000000000,254,100014
10100000000,254,100014
10200000000,255,100015
10300000000,254,100005
10400000000,255,100015
10500000000,255,100018
10600000000,255,100021
10700000000,254,100020
10800000000,255,100018
10900000000,254,100014
11000000000,255,100021
11100000000,255,100024
11200000000,254,100014
11300000000,255,100015
11400000000,254,100017
11500000000,255,100018
11600000000,255,100015
11700000000,254,100014
11800000000,254,100014
11900000000,255,100021
12000000000,255,100021
12100000000,255,100021
12200000000,255,100021
12300000000,255,100018
12400000000,255,100024
12500000000,255,100021
12600000000,254,100014
12700000000,255,100024
12800000000,255,100021
12900000000,255,100018
13000000000,255,100015
13100000000,255,100018
13200000000,255,100018
13300000000,255,100018
13400000000,255,100015
13500000000,255,100015
13600000000,255,100015
13700000000,255,100021
13800000000,255,100018
13900000000,255,100012
14000000000,255,100015
14100000000,255,100009
14200000000,255,100018
14300000000,255,100021
14400000000,255,100021
14500000000,255,100018
14600000000,255,100015
14700000000,255,100018
14800000000,255,100021
14900000000,255,100024
15000000000,255,100018
15100000000,255,100018
15200000000,255,100015
15300000000,255,100018
15400000000,255,100018
15500000000,255,100018
15600000000,255,100015
15700000000,255,100022
15800000000,255,100015
15900000000,255,100021
16000000000,255,100021
16100000000,255,100021
16200000000,255,100034
16300000000,255,100024
16400000000,255,100015
16500000000,255,100021
16600000000,255,100012
16700000000,255,100021
16800000000,255,100021
16900000000,255,100021
17000000000,255,100015
17100000000,255,100018
17200000000,255,100024
17300000000,255,100018
17400000000,255,100015
17500000000,255,100012
17600000000,255,100015
17700000000,255,100030
17800000000,255,100016
17900000000,255,100015
