Time,Temp,Pressure
100000000,224,98179
200000000,225,98219
300000000,225,98216
400000000,225,98219
500000000,225,98216
600000000,225,98216
700000000,225,98222
800000000,225,98223
900000000,225,98219
1000000000,225,98213
1100000000,225,98208
1200000000,225,98208
1300000000,225,98214
1400000000,225,98217
1500000000,225,98220
1600000000,225,98217
1700000000,225,98213
1800000000,225,98213
1900000000,225,98220
2000000000,225,98214
2100000000,225,98211
2200000000,225,98219
2300000000,225,98213
2400000000,225,98217
2500000000,225,98214
2600000000,225,98217
2700000000,225,98224
2800000000,225,98214
2900000000,225,98208
3000000000,225,98214
3100000000,225,98214
3200000000,225,98214
3300000000,225,98214
3400000000,225,98218
3500000000,225,98214
3600000000,225,98220
3700000000,225,98214
3800000000,225,98214
3900000000,225,98217
4000000000,225,98217
4100000000,225,98220
4200000000,225,98217
4300000000,225,98208
4400000000,225,98220
4500000000,225,98220
4600000000,225,98214
4700000000,225,98224
4800000000,225,98165
4900000000,224,98160
5000000000,224,98179
5100000000,224,98164
5200000000,225,98221
5300000000,225,98224
5400000000,225,98221
5500000000,225,98224
5600000000,225,98217
9400000000,225,98221
9420000000,225,98215
9440000000,225,98218
9461000000,225,98215
9481000000,225,98218
9501000000,225,98221
9521000000,225,98221
9542000000,225,98218
9562000000,225,98218
9582000000,225,98215
9602000000,225,98213
9622000000,225,98221
9643000000,225,98215
9663000000,225,98213
9683000000,225,98210
9703000000,225,98218
9723000000,226,98214
9744000000,225,98218
9764000000,226,98220
9784000000,226,98217
9804000000,225,98159
9824000000,225,98158
9845000000,225,98160
9865000000,225,98161
9885000000,225,98158
9905000000,225,98168
9926000000,225,98165
9946000000,225,98164
9966000000,225,98170
9986000000,225,98177
10006000000,225,98173
10027000000,225,98171
10047000000,225,98180
10067000000,225,98162
10087000000,225,98168
10107000000,225,98165
10128000000,225,98165
10148000000,225,98212
10168000000,226,98223
10188000000,226,98215
10208000000,226,98218
10229000000,226,98215
10249000000,226,98209
10269000000,226,98215
10289000000,226,98218
10309000000,226,98224
10330000000,226,98224
10400000000,226,98226
10500000000,226,98223
10600000000,226,98226
10700000000,225,98221
10800000000,225,98218
10900000000,225,98221
13300000000,225,98230
13320000000,225,98227
13340000000,225,98229
13360000000,225,98218
13381000000,225,98221
13401000000,225,98215
13421000000,225,98221
13441000000,225,98215
13461000000,225,98214
13482000000,225,98218
13502000000,226,98226
13522000000,225,98214
13542000000,226,98217
13562000000,226,98217
13583000000,226,98220
13603000000,226,98217
13623000000,226,98217
13643000000,226,98217
13663000000,226,98220
13683000000,226,98218
13704000000,226,98217
13724000000,226,98218
13744000000,226,98223
13764000000,226,98218
13784000000,226,98212
13805000000,226,98217
13825000000,226,98218
13845000000,226,98215
13865000000,226,98215
13900000000,226,98223
14000000000,226,98220
14100000000,226,98223
14200000000,225,98223
14300000000,225,98215
14400000000,225,98212
14500000000,225,98218
14600000000,225,98227
14700000000,225,98221
14800000000,225,98180
14900000000,225,98172
15000000000,225,98179
15100000000,225,98172
15200000000,225,98218
15300000000,225,98215
15400000000,225,98218
15500000000,225,98215
15600000000,225,98218
15700000000,225,98221
15800000000,225,98221
15900000000,225,98220
16000000000,225,98221
16100000000,225,98221
16200000000,225,98224
16300000000,225,98218
16400000000,225,98221
16500000000,225,98227
16600000000,225,98213
16700000000,225,98215
16800000000,225,98227
16900000000,225,98221
17000000000,225,98215
17100000000,225,98224
17200000000,225,98224
17300000000,225,98218
17400000000,225,98218
17500000000,225,98224
17600000000,225,98215
17700000000,225,98218
17800000000,225,98215
17900000000,225,98215
18000000000,225,98227
18100000000,225,98227
18200000000,225,98218
18300000000,225,98213
18400000000,225,98221
18500000000,225,98218
18600000000,225,98213
18700000000,225,98215
18800000000,225,98223
18900000000,225,98213
19000000000,226,98220
19100000000,225,98227
19200000000,225,98218
19300000000,225,98218
19400000000,225,98215
19500000000,225,98220
19600000000,225,98218
19700000000,225,98215
19800000000,225,98166
19900000000,225,98163
20000000000,225,98176
20100000000,225,98182
20200000000,226,98220
20300000000,225,98221
20400000000,225,98229
20500000000,225,98229
20600000000,225,98227
20700000000,225,98230
20800000000,225,98215
20900000000,225,98224
21000000000,225,98215
21100000000,225,98224
21200000000,225,98224
21300000000,225,98220
21400000000,225,98217
21500000000,225,98224
21600000000,225,98218
21700000000,225,98221
21800000000,225,98213
21900000000,225,98215
22000000000,225,98218
22100000000,225,98223
22200000000,225,98213
22300000000,225,98220
22400000000,225,98204
22500000000,226,98228
22600000000,225,98220
22700000000,226,98228
22800000000,226,98223
22900000000,226,98228
23000000000,225,98220
23100000000,225,98220
23200000000,225,98217
23300000000,225,98229
23400000000,226,98228
23500000000,226,98231
23600000000,226,98226
23700000000,226,98226
23800000000,225,98234
23900000000,225,98220
24000000000,226,98223
24100000000,225,98224
24200000000,225,98215
24300000000,226,98220
24400000000,225,98218
24500000000,225,98217
24600000000,225,98217
24700000000,225,98223
24800000000,225,98167
24900000000,225,98160
25000000000,225,98168
25100000000,225,98173
25200000000,226,98220
25300000000,226,98223
25400000000,226,98223
25500000000,226,98220
25600000000,225,98215
25700000000,226,98223
25800000000,225,98215
25900000000,226,98223
26000000000,226,98226
26100000000,225,98223
26200000000,226,98226
26300000000,226,98226
26400000000,226,98223
26500000000,225,98220
26600000000,225,98218
26700000000,226,98223
26800000000,225,98220
26900000000,225,98213
27000000000,226,98228
27100000000,225,98221
27200000000,226,98232
27300000000,226,98228
27400000000,226,98228
27500000000,226,98217
27600000000,226,98214
27700000000,226,98228
27800000000,225,98226
27900000000,226,98226
28000000000,225,98223
28100000000,226,98226
28200000000,226,98231
28300000000,226,98228
28400000000,225,98229
28500000000,225,98220
28600000000,226,98220
28700000000,226,98226
28800000000,225,98215
28900000000,226,98220
29000000000,226,98226
29100000000,226,98226
29200000000,226,98220
29300000000,226,98217
29400000000,226,98220
29500000000,226,98226
29600000000,226,98220
29700000000,226,98223
29800000000,225,98164
29900000000,225,98163
30000000000,225,98173
30100000000,225,98173
30200000000,226,98223
30300000000,226,98226
30400000000,226,98226
30500000000,226,98223
30600000000,226,98217
30700000000,226,98223
30800000000,225,98223
30900000000,226,98220
31000000000,226,98223
31100000000,226,98226
31200000000,226,98223
31300000000,226,98220
31400000000,226,98226
31500000000,226,98217
31600000000,226,98220
31700000000,225,98220
31800000000,226,98217
34100000000,225,98227
34120000000,225,98220
34140000000,226,98214
34160000000,226,98223
34180000000,226,98223
34199000000,226,98220
34220000000,226,98215
34240000000,226,98218
34260000000,226,98224
34280000000,226,98212
34299000000,226,98221
34320000000,226,98225
34340000000,226,98228
34360000000,226,98225
34380000000,226,98230
34399000000,226,98218
34420000000,226,98225
34440000000,226,98219
34460000000,226,98217
34479000000,226,98216
34499000000,226,98220
34520000000,226,98220
34540000000,226,98213
34560000000,226,98216
34579000000,226,98214
34599000000,226,98221
34620000000,226,98220
34640000000,226,98221
34700000000,226,98221
34800000000,226,98172
34900000000,225,98165
35000000000,225,98159
35100000000,225,98162
35200000000,226,98217
35300000000,226,98217
35400000000,226,98224
35500000000,226,98223
35600000000,226,98220
35700000000,226,98214
35800000000,226,98230
35900000000,226,98220
36000000000,226,98220
36100000000,226,98226
36200000000,226,98223
36300000000,226,98220
36400000000,226,98214
36500000000,226,98220
36600000000,226,98227
36700000000,226,98220
36800000000,226,98226
36900000000,226,98220
37000000000,226,98224
37100000000,226,98223
37200000000,226,98223
37300000000,226,98220
37400000000,226,98227
37500000000,226,98218
37600000000,226,98226
37700000000,226,98220
37800000000,226,98215
37900000000,226,98230
38000000000,226,98220
38100000000,226,98224
38200000000,226,98218
38300000000,226,98223
38400000000,226,98230
38500000000,226,98214
38600000000,226,98215
38700000000,226,98214
38800000000,226,98212
38900000000,226,98215
39000000000,226,98218
39100000000,226,98214
39200000000,226,98217
39300000000,226,98211
39400000000,226,98218
39500000000,226,98217
39600000000,226,98218
39700000000,226,98215
39800000000,225,98175
39900000000,225,98162
40000000000,225,98159
40100000000,225,98164
40200000000,226,98227
40300000000,226,98233
40400000000,226,98227
40500000000,226,98224
40600000000,226,98221
40700000000,226,98224
40800000000,226,98224
40900000000,226,98230
41000000000,226,98215
41100000000,226,98217
41200000000,226,98218
41300000000,226,98227
41400000000,226,98220
41500000000,226,98227
41600000000,226,98215
41700000000,226,98215
41800000000,226,98218
41900000000,226,98221
42000000000,226,98218
42100000000,226,98224
42200000000,226,98215
42300000000,226,98224
42400000000,226,98218
42500000000,226,98215
42600000000,226,98215
42700000000,226,98212
42800000000,226,98215
42900000000,226,98212
43000000000,226,98218
43100000000,226,98224
43200000000,226,98209
43300000000,226,98221
43400000000,226,98224
43500000000,226,98221
43600000000,226,98215
43700000000,226,98221
43800000000,226,98215
43900000000,226,98221
44000000000,226,98221
44100000000,226,98218
44200000000,226,98218
44300000000,226,98221
44400000000,226,98221
44500000000,226,98221
44600000000,226,98215
44700000000,226,98210
44800000000,225,98157
44900000000,225,98144
45000000000,225,98148
45100000000,225,98145
45200000000,226,98209
45300000000,226,98221
45400000000,226,98212
45500000000,226,98222
45600000000,226,98215
45700000000,226,98212
45800000000,226,98218
45900000000,226,98210
46000000000,226,98218
46100000000,226,98222
46200000000,226,98224
46300000000,226,98215
46400000000,226,98203
46500000000,226,98221
46600000000,226,98215
46700000000,226,98215
46800000000,226,98224
46900000000,226,98224
47000000000,226,98224
47100000000,226,98224
47200000000,226,98222
47300000000,226,98222
47400000000,226,98209
47500000000,226,98222
47600000000,226,98219
47700000000,226,98212
47800000000,226,98212
47900000000,226,98222
48000000000,226,98218
48100000000,226,98212
48200000000,226,98221
48300000000,226,98221
48400000000,226,98222
48500000000,226,98222
48600000000,226,98209
48700000000,226,98218
48800000000,226,98222
48900000000,226,98221
49000000000,226,98218
49100000000,226,98222
49200000000,226,98219
49300000000,226,98219
49400000000,226,98216
49500000000,226,98217
49600000000,226,98215
49700000000,226,98215
49800000000,225,98160
49900000000,225,98151
50000000000,225,98148
50100000000,225,98155
50200000000,226,98213
50300000000,226,98222
50400000000,226,98219
50500000000,226,98216
50600000000,226,98216
50700000000,226,98216
50800000000,226,98216
50900000000,226,98221
51000000000,226,98216
51100000000,226,98221
51200000000,226,98223
51300000000,226,98212
51400000000,226,98212
51500000000,226,98213
51600000000,226,98220
51700000000,226,98217
51800000000,226,98215
51900000000,226,98228
52000000000,226,98225
52100000000,226,98225
52200000000,226,98219
52300000000,226,98225
52400000000,226,98219
52500000000,226,98220
52600000000,226,98219
52700000000,226,98215
52800000000,226,98217
52900000000,226,98215
